qp,psnr,ssim,loss,baseline_psnr,baseline_ssim,delta_psnr,delta_ssim
22,36.697102915028175,0.9372143525676918,0.07404106674473125,36.62055534307524,0.9346097754954097,0.07654757195293627,0.0026045770722821215
27,34.41099147079249,0.9105433901151021,0.10388614547796043,34.218597900444884,0.9054610182841619,0.19239357034760474,0.00508237183094018
32,32.363136572690635,0.8811148585233474,0.13687518639886812,32.040018762583856,0.8715243687008257,0.32311781010677976,0.009590489822521642
37,29.701877098308096,0.825432165568335,0.19838679424932876,29.38347160873654,0.8122525680856896,0.3184054895715569,0.013179597482645411
42,27.827848523948507,0.7809615164360307,0.24811021380201168,27.493810770726974,0.7624605998322181,0.3340377532215335,0.01850091660381259
