qp,A_psnr,B_psnr,diff_psnr (B-A),A_ssim,B_ssim,diff_ssim (B-A),A_delta_psnr,B_delta_psnr,diff_gain_psnr (B-A),A_delta_ssim,B_delta_ssim,diff_gain_ssim (B-A)
22,36.786859833184174,36.80464177027511,0.01778193709093756,0.9383629329297178,0.9382095740179072,-0.00015335891181067485,0.166304490108935,0.18408642719987256,0.01778193709093756,0.003753157434308152,0.003599798522497477,-0.00015335891181067485
27,34.46673836785969,34.48264325471374,0.015904886854052336,0.9113465759688452,0.9113208240584323,-2.57519104128745e-05,0.24814046741480666,0.264045354268859,0.015904886854052336,0.00588555768468324,0.005859805774270366,-2.57519104128745e-05
32,32.392030218284404,32.41940316774435,0.027372949459945062,0.8818770818617708,0.8820645703782414,0.00018748851647054643,0.3520114557005485,0.37938440516049354,0.027372949459945062,0.010352713160945104,0.01054020167741565,0.00018748851647054643
37,29.740842910536408,29.749356850150757,0.008513939614349653,0.826633720439777,0.8265222561986822,-0.00011146424109476083,0.3573713017998692,0.36588524141421885,0.008513939614349653,0.014381152354087434,0.014269688112992673,-0.00011146424109476083
42,27.872450125270248,27.867635980507064,-0.004814144763184203,0.7825408190712893,0.7824961908964585,-4.462817483075199e-05,0.37863935454327446,0.37382520978009026,-0.004814144763184203,0.020080219239071107,0.020035591064240355,-4.462817483075199e-05
