qp,psnr,ssim,loss,baseline_psnr,baseline_ssim,delta_psnr,delta_ssim
22,36.80464177027511,0.9382095740179072,0.07290516450772422,36.62055534307524,0.9346097754954097,0.18408642719987256,0.003599798522497477
27,34.48264325471374,0.9113208240584323,0.10298970310218203,34.218597900444884,0.9054610182841619,0.264045354268859,0.005859805774270366
32,32.41940316774435,0.8820645703782414,0.13579858775743117,32.040018762583856,0.8715243687008257,0.37938440516049354,0.01054020167741565
37,29.749356850150757,0.8265222561986822,0.1971512312625061,29.38347160873654,0.8122525680856896,0.36588524141421885,0.014269688112992673
42,27.867635980507064,0.7824961908964585,0.2464077974844696,27.493810770726974,0.7624605998322181,0.37382520978009026,0.020035591064240355
