qp,psnr,ssim,loss,baseline_psnr,baseline_ssim,delta_psnr,delta_ssim
22,36.786859833184174,0.9383629329297178,0.07273384581289644,36.62055534307524,0.9346097754954097,0.166304490108935,0.003753157434308152
27,34.46673836785969,0.9113465759688452,0.10295121081098728,34.218597900444884,0.9054610182841619,0.24814046741480666,0.00588555768468324
32,32.392030218284404,0.8818770818617708,0.13601292195522172,32.040018762583856,0.8715243687008257,0.3520114557005485,0.010352713160945104
37,29.740842910536408,0.826633720439777,0.19703288445048464,29.38347160873654,0.8122525680856896,0.3573713017998692,0.014381152354087434
42,27.872450125270248,0.7825408190712893,0.2463237372686839,27.493810770726974,0.7624605998322181,0.37863935454327446,0.020080219239071107
